제목, 저자, 출판사, 정가, 판매가, 출간일
파이썬 라이브러리 레시피,이케우치 다카히로/스즈키 다카노리/이시모토 아츠오/고사카 겐지로/마카비 아이,프리렉,25000,22500,2016-04-26
문과생을 위한 파이썬,홍성인,인디라이프,18500,16650,2020-07-01
초간단 파이썬 입문서,유채곤,부크크(Bookk),9200,9200,2017-03-14
Do it! 쉽게 배우는 파이썬 데이터 분석,김영우,이지스퍼블리싱,23000,20700,2022-05-31
깐깐하게 배우는 파이썬,제드 쇼,인사이트,24000,21600,2014-12-04
코어 파이썬 애플리케이션 프로그래밍,웨슬리 천,에이콘출판,50000,45000,2014-01-29
파이썬으로 배우는 실전 알고리즘,마시모 디 피에로,프리렉,28000,25200,2015-07-21
파이썬 웹 프로그래밍: 실전편,김석훈,한빛미디어,30000,27000,2016-07-15
파이썬 더 쉽게, 더 깊게,츠지 신고,제이펍,26000,23400,2014-09-17
초등 교과수학코딩 with 파이썬,하 우 홍,부크크(Bookk),15700,15700,2019-05-31
파이썬 라이브러리를 활용한 머신러닝,안드레아스 뮐러/세라 가이도,한빛미디어,30000,27000,2017-07-01
파이썬 웹 프로그래밍 에센셜 개정판,김승구,부크크(Bookk),22200,22200,2021-03-17
파이썬 머신러닝 완벽 가이드,권철민,위키북스,38000,34200,2020-02-07
파이썬 코딩 수학 with 딥러닝,박경원,정보문화사,15000,13500,2019-07-10
파이썬 웹 스크래핑(acorn+PACKT 시리즈),리차드 로손,에이콘출판,20000,18000,2017-04-27
해커의 언어 치명적 파이썬,TJ 오코너,비제이퍼블릭,24000,21600,2013-02-25
알기 쉬운 파이썬 SQL 코딩하기(나도 코딩한다),정현희,크라운출판사,15000,13500,2020-03-24
파이썬을 이용한 비트코인 자동매매,유부장/조대표,파이스탁,20000,18000,2019-02-18
파이썬 프로그래밍(예제로 쉽게 배우는),김상근,다올미디어,22000,19800,2020-08-28
파이썬 데이터 시각화 마스터(acorn+PACKT 시리즈),키르시 라만,에이콘출판,35000,31500,2017-05-11
통계학: 파이썬을 이용한 분석,박진호/박헌진/유동현/이경재/황진수,자유아카데미,30000,28500,2018-08-20
파이썬 한권으로 끝내기: 데이터분석전문가(ADP) + 빅데이터분석기사 실기대비,데싸라면/빨간색 물고기/자투리코드,시대고시기획,29000,26100,2023-06-15
머신 러닝 교과서 with 파이썬, 사이킷런, 텐서플로,세바스찬 라시카/바히드 미자리리,길벗,33000,29700,2019-05-24
파이썬 프로그래밍으로 지루한 작업 자동화하기,알 스웨이가트,스포트라잇북,30000,27000,2017-02-22
파이썬 데이터 시각화의 입문과 활용 세트,키르시 라만/이고 밀로바노빅/디미트리 포레스/기우스페 베티글리,에이콘출판,58000,52200,2017-06-21
파이썬으로 배우는 블록체인 구조와 이론,조성현/이광성/박혜리,위키북스,27000,24300,2019-05-02
머신 러닝 부트캠프 with 파이썬,주식회사 시스템 계획 연구소,길벗,22000,19800,2018-05-31
비공대생을 위한 코딩 첫걸음 with 파이썬,김일민/홍희경/유상미/노은희,한성대학교출판부,18000,18000,2020-09-01
파이썬으로 다시 배우는 핵심 고등 수학(핵고수),타니지리 카오리,위키북스,25000,22500,2019-11-07
파이썬 네트워크 프로그래밍(사물인터넷을 위한)(3판),서열규/전희성,복두출판사,28000,28000,2022-02-25
예제로 배우는 파이썬 데이터 시각화(acorn+PACKT 시리즈),이고 밀로바노빅/디미트리 포레스/기우스페 베티글리,에이콘출판,30000,27000,2017-06-12
파이썬과 40개의 작품들,장문철,앤써북,18800,16920,2022-02-28
순서도로 배우는 파이썬(SW교육 onlyOne 1),김종훈,다올미디어,17000,15300,2016-06-20
파이썬을 이용한 통계적 머신러닝,박유성,자유아카데미,32000,32000,2021-02-25
파이썬과 OpenCV를 이용한 컴퓨터 비전 학습,알렉세이 스피쉐보이/알렉산드르 류브니코프,에이콘출판,35000,31500,2019-01-02
자기주도 파이썬(혼자서도 쉽게 익힐 수 있는),김동규,복두출판사,15000,14250,2019-04-20
파이썬을 이용한 머신러닝, 딥러닝 실전 개발 입문(데이터 사이언스 시리즈 3),쿠지라 히코우즈쿠에,위키북스,30000,27000,2017-06-15
파이썬으로 배우는 알고리즘 트레이딩(개정판)(프로그래밍 & 프랙티스 시리즈...,조대표,위키북스,40000,36000,2019-03-07
웹 크롤링과 스크레이핑(파이썬을 이용한)(데이터 사이언스 시리즈 12),카토 코타,위키북스,30000,27000,2018-03-22
Let’s Start Coding with Raptor & Python(랩터 & 파이썬),김충석,이한미디어,24000,21600,2019-03-05
파이썬으로 만드는 암호화폐 자동 거래 시스템(프로그래밍 & 프랙티스 시리즈...,박재현,위키북스,25000,22500,2018-04-26
파이썬을 이용한 머신러닝, 딥러닝 실전 앱 개발(위키북스 데이터 사이언스...,쿠지라 히코우즈쿠에/스기야마 요우이치/엔도 ��스케,위키북스,27000,24300,2019-03-28
파이썬 프로그래밍(입문부터 실무까지 한 방에 끝내는)(개정증보판),조인석,혜지원,27000,24300,2016-03-31
파이썬 웹 프로그래밍(개정증보판)(위키북스 오픈소스 & 웹 시리즈 78),주성식/홍성민,위키북스,25000,22500,2016-05-31
파이썬을 활용한 부동산 데이터 분석(위키북스 데이터 사이언스 시리즈 35),박준규,위키북스,25000,22500,2019-05-16
한권으로 파이썬과 드론 날로 먹기: 인공지능편(드론포함),이현종/박재일,잇플,98000,88200,2021-04-01
데이터 분석 실무 with 파이썬(직장인을 위한)(위키북스 데이터 사이언스...,이형석/장남수/전상환/정상욱,위키북스,27000,24300,2020-01-03
2023 빅데이터분석기사 실기 한권완성 필답형+작업형[파이썬(Python)],최예신/박진원/이경숙/김주현,예문에듀,30000,27000,2023-05-15
파이썬과 케라스를 이용한 딥러닝/강화학습 주식투자(위키북스 데이터...,퀀티랩,위키북스,28000,25200,2020-04-27
2024 수제비 빅데이터분석기사 실기 R+파이썬,윤영빈/조수연/이호형/박인상/김학배/서용욱,건기원,33000,29700,2023-10-30
Do it! 게임 10개 만들며 배우는 파이썬,벤 포터/쉬무엘 포터,이지스퍼블리싱,22000,19800,2022-12-15
모두의 엔트리 with 엔트리파이썬,김슬기/김성훈/곽혜미,길벗,18000,16200,2017-11-20
파이썬을 활용한 공격적 & 방어적 해킹 프로그래밍 세트(에이콘 해킹 보안...,저스틴 지이츠,에이콘출판,46800,42120,2015-05-11
Do it! 알고리즘 코딩 테스트: 파이썬 편,김종관,이지스퍼블리싱,32000,28800,2022-08-16
파이썬을 이용한 퀀트 투자 포트폴리오 만들기,이현열,제이펍,30000,27000,2023-02-17
챗GPT로 만드는 주식 & 암호화폐 자동매매 시스템,설근민,제이펍,20000,18000,2023-11-17
모두의 한국어 텍스트 분석 with 파이썬,박조은/송영숙,길벗,27000,24300,2023-05-29
코딩 테스트 합격자 되기: 파이썬 편,박경록,골든래빗(주),40000,36000,2023-11-15
일 잘하는 평사원의 업무 자동화,이태화,프리렉,25000,22500,2018-05-11
챗GPT를 활용한 파이썬 프로그래밍,김종덕,아이티포럼,27000,24300,2023-11-15
파이썬 한권으로 끝내기: 데이터분석전문가(ADP) + 빅데이터분석기사 실기대비,데싸라면/빨간색 물고기/자투리코드,시대고시기획,27000,24300,2022-06-03
나의 첫 알고리즘+자료구조 with 파이썬,코리 알트호프,한빛미디어,21000,18900,2023-11-01
FastAPI를 사용한 파이썬 웹 개발,압둘라지즈 압둘라지즈 아데시나,한빛미디어,20000,18000,2023-03-22
파이썬 코드로 배우는 Git&Github,유광명,영진닷컴,20000,18000,2022-12-10
데이터 경영을 위한 파이썬,마탄 그리펠/대니얼 게타,윌북,24800,22320,2023-10-20
챗GPT를 활용한 40가지 파이썬 프로그램 만들기,장문철,앤써북,17700,15930,2023-04-30
프로그래머스 코딩 테스트 문제 풀이 전략: 파이썬 편,김범수,길벗,40000,36000,2023-02-23
파이썬 텍스트 마이닝 바이블 2,이상엽,위키북스,28000,25200,2023-11-09
혼자 공부하는 첫 프로그래밍 with 파이썬,문현일,한빛미디어,17000,15300,2020-06-30
파이썬 텍스트 마이닝 바이블 1,이상엽,위키북스,42000,37800,2023-11-09
객체지향 파이썬,어브 캘브,제이펍,32000,28800,2023-10-13
Plotly로 시작하는 인터랙티브 데이터 시각화 in R & 파이썬,이기준,제이펍,32000,28800,2023-12-05
파이썬 기반 금융 인공지능,이브 힐피시,한빛미디어,42000,37800,2022-09-28
